rank,candidate_id,article_id,title,article_url,latest_draft_id,version,gsc_clicks_28d,ga4_sessions_28d,image_count,table_count,internal_link_count,gate_status,conflict_status,approval_status,brand_cleanup,html_safety,overlap,longest_phrase,facts_manual_verify,rollout_status,recommended_action
1,26,1002767147,So sánh 3 VGA tầm giá 5–7 triệu: RTX 3050 vs RTX 3060 vs RX ,https://sintech.vn/blogs/huong-dan/so-sanh-3-vga-tam-gia-5-7-trieu-rtx-3050-vs-rtx-3060-vs-rx-6600-car,22,2,0,1,1,1,0,ALLOW,SAFE_TO_APPLY,draft_ready,PASS,PASS,0.0916,20,needs_check,READY,Verify facts → approve_local → canary apply
2,55,1002398280,Nvidia sắp ngừng sản xuất card đồ họa GeForce RTX 3060,https://sintech.vn/blogs/news/nvidia-sap-ngung-san-xuat-card-do-hoa-geforce-rtx-3060,24,1,0,0,2,0,0,ALLOW,SAFE_TO_APPLY,draft_ready,PASS,PASS,0.0148,9,needs_check,READY,Verify facts → approve_local → canary apply
3,21,1002758362,DLSS 4 là gì? Cách bật DLSS 4 trên card NVIDIA,https://sintech.vn/blogs/huong-dan/dlss-4-la-gi-cach-bat-dlss-4-tren-card-nvidia,23,1,1,0,8,0,0,ALLOW,SAFE_TO_APPLY,draft_ready,PASS,PASS,0.1001,15,needs_check,READY,Verify facts → approve_local → canary apply
