candidate_id,sintech_article_id,sintech_title,sintech_url,suspected_copy_domain,recommended_manual_action,evidence,published_sintech,content_hash_sintech,status
216,1002695141,Card đồ hoạ RTX 5070 gây bão trên Amazon: NVIDIA giữ hơn 70% tổng thị phần GPU,https://sintech.vn/blogs/news/card-do-hoa-rtx-5070-gay-bao-tren-amazon-nvidia-giu-hon-70-tong-thi,Hữu Computer,preserve_evidence; prepare_takedown_request,Cao – đối thủ đăng sau,2025,ecac5c306b42dc44,reverse_copy_defense
224,1002715077,Trung Quốc ra mắt GPU 6nm nhà làm Lisuan 7G106 & 7G105 nhanh hơn 4060,https://sintech.vn/blogs/news/trung-quoc-lan-dau-tien-ra-mat-gpu-6nm-danh-cho-game-va-ai-lisuan-7g106-12-gb-7g105-24-gb,Hữu Computer,preserve_evidence; prepare_takedown_request,Cao – đối thủ đăng sau,2025,6a32e82fcf0624b8,reverse_copy_defense
225,1002717797,"Top 10 Thương Hiệu Linh Kiện Máy Tính Được Yêu Thích Nhất Tại Việt Nam: Game thủ, dân văn phòng, ai cũng mê!",https://sintech.vn/blogs/news/top-10-thuong-hieu-linh-kien-may-tinh-duoc-yeu-thich-nhat-tai-viet-nam,Hữu Computer,preserve_evidence; prepare_takedown_request,Cao – đối thủ sao chép Sintech,2025,0714020639fe7036,reverse_copy_defense
