p0_rank,article_id,title,url,draft_id,apply_state,verify,http,verify_source,put,backup_path
2,1002794878,Cách tải và sử dụng Chat GPT cho máy tính Windows & macOS (Cập nhật 2025),https://sintech.vn/blogs/huong-dan/cach-tai-va-su-dung-chat-gpt-cho-may-tinh-windows-macos-cap-nhat-20,520,LIVE_VERIFIED,VERIFIED,201,HARAVAN_READ_API,1,C:\Users\NGHIANGO\.openclaw\workspace\nox-1\marketing_hub\state\backups\p0_quickwin_apply\20260614-130744\1002794878.json
3,1002753568,PC Bị Giật Điện Có Sao Không: Nguyên Nhân & Cách Khắc Phục Tại Nhà,https://sintech.vn/blogs/huong-dan/pc-bi-giat-dien-co-sao-khong-nguyen-nhan-cach-khac-phuc-tai-nha,521,LIVE_VERIFIED,VERIFIED,201,HARAVAN_READ_API,1,C:\Users\NGHIANGO\.openclaw\workspace\nox-1\marketing_hub\state\backups\p0_quickwin_apply\20260614-130744\1002753568.json
4,1002398567,"Trung tâm sửa PC uy tín, lấy ngay ở Quận 7",https://sintech.vn/blogs/news/trung-tam-sua-pc-uy-tin-lay-ngay-o-quan-7,522,LIVE_VERIFIED,VERIFIED,201,HARAVAN_READ_API,1,C:\Users\NGHIANGO\.openclaw\workspace\nox-1\marketing_hub\state\backups\p0_quickwin_apply\20260614-130744\1002398567.json
6,1002404456,Thu mua máy tính cũ giá cao tận nơi tại Tphcm,https://sintech.vn/blogs/news/thu-mua-may-tinh-cu-gia-cao-tan-noi-tai-tphcm,523,LIVE_VERIFIED,VERIFIED,201,HARAVAN_READ_API,1,C:\Users\NGHIANGO\.openclaw\workspace\nox-1\marketing_hub\state\backups\p0_quickwin_apply\20260614-130744\1002404456.json
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,https://sintech.vn/blogs/huong-dan/top-phan-mem-test-vga-card-man-hinh-hieu-qua-2025-giup-kiem-tra-hi,525,LIVE_VERIFIED,VERIFIED,201,HARAVAN_READ_API,1,C:\Users\NGHIANGO\.openclaw\workspace\nox-1\marketing_hub\state\backups\p0_quickwin_apply\20260614-130744\1002792621.json
